Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
Papua New Guinea,Namibia,"Tribhuvan University International Cricket Ground, Nepal",Namibia,Gerhard Erasmus,Namibia
Papua New Guinea,India,"Sher-e-Bangla National Stadium, Bangladesh",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Namibia,Ireland,"Harare Sports Club, Zimbabwe",Ireland,Josh Little,Ireland
Hong Kong,Netherlands,"Tribhuvan University International Cricket Ground, Nepal",Hong Kong,Ehsan Khan,Netherlands
South Africa,West Indies,"Sharjah Cricket Stadium, UAE",West Indies,Chris Gayle,South Africa
Hong Kong,England,"Pune Cricket Stadium, India",Hong Kong,Nizakat Khan,England
Hong Kong,England,"Wanderers Cricket Ground, Namibia",Hong Kong,Ehsan Khan,England
United Arab Emirates,Hong Kong,"Alokozay Kabul International Cricket Ground, Afghanistan",United Arab Emirates,Chirag Suri,United Arab Emirates
Scotland,Australia,"Hagley Oval, New Zealand",Australia,Pat Cummins,Scotland
Ireland,Australia,"Jaipur Cricket Stadium, India",Australia,Glenn Maxwell,Ireland
United Arab Emirates,Zimbabwe,"The Grange Club, Scotland",United Arab Emirates,Chirag Suri,Zimbabwe
Netherlands,Afghanistan,"Wankhede Stadium, India",Afghanistan,Rahmanullah Gurbaz,Netherlands
West Indies,Scotland,"Alokozay Kabul International Cricket Ground, Afghanistan",West Indies,Jason Holder,Scotland
Nepal,England,"Rajkot Cricket Stadium, India",Nepal,Karan KC,Nepal
Sri Lanka,Hong Kong,"Motera Stadium, India",Hong Kong,Ehsan Khan,Sri Lanka
England,India,"Arun Jaitley Stadium, India",England,Joe Root,India
Ireland,United Arab Emirates,"Dharamsala Cricket Stadium, India",United Arab Emirates,Rohan Mustafa,Ireland
England,West Indies,"Rajiv Gandhi International Cricket Stadium, India",West Indies,Chris Gayle,West Indies
India,Afghanistan,"Galle International Stadium, Sri Lanka",Afghanistan,Hazratullah Zazai,India
Afghanistan,Netherlands,"Malahide Cricket Club Ground, Ireland",Afghanistan,Mohammad Nabi,Afghanistan
United Arab Emirates,Zimbabwe,"R. Premadasa Stadium, Sri Lanka",United Arab Emirates,Waheed Ahmed,United Arab Emirates
Netherlands,Nepal,"Kabul International Cricket Stadium, Afghanistan",Netherlands,Max O'Dowd,Netherlands
Afghanistan,Papua New Guinea,"Surat Cricket Stadium, India",Papua New Guinea,Assad Vala,Papua New Guinea
New Zealand,Australia,"Malahide Cricket Club Ground, Ireland",New Zealand,Kyle Jamieson,New Zealand
West Indies,Ireland,"Kensington Oval, Barbados, West Indies",West Indies,Kieron Pollard,West Indies
Pakistan,Hong Kong,"Al Amerat Cricket Ground, Oman",Pakistan,Mohammad Rizwan,Pakistan
Sri Lanka,Namibia,"Lucknow Cricket Stadium, India",Sri Lanka,Angelo Mathews,Sri Lanka
Australia,Oman,"Browne Park, Montserrat, West Indies",Oman,Bilal Khan,Australia
Ireland,Nepal,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Nepal,Gyanendra Malla,Ireland
Scotland,Afghanistan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Scotland,George Munsey,Scotland
Papua New Guinea,Scotland,"Eden Gardens, India",Scotland,Mark Watt,Papua New Guinea
West Indies,Afghanistan,"Browne Park, Montserrat, West Indies",Afghanistan,Mohammad Nabi,Afghanistan
England,Nepal,"Maharashtra Cricket Association Stadium, India",Nepal,Sandeep Lamichhane,England
Papua New Guinea,Nepal,"Queen's Sports Club, Zimbabwe",Papua New Guinea,Assad Vala,Papua New Guinea
South Africa,Hong Kong,"Patna Cricket Stadium, India",South Africa,Faf du Plessis,South Africa
England,United Arab Emirates,"R. Premadasa Stadium, Sri Lanka",United Arab Emirates,Muhammad Usman,United Arab Emirates
United Arab Emirates,Netherlands,"Bellerive Oval, Australia",Netherlands,Fred Klaassen,Netherlands
England,Bangladesh,"Seddon Park, New Zealand",Bangladesh,Tamim Iqbal,England
Ireland,India,"Sheikh Zayed Stadium, UAE",Ireland,Andrew Balbirnie,Ireland
Afghanistan,South Africa,"Sheikh Zayed Stadium, UAE",South Africa,Anrich Nortje,South Africa
Hong Kong,West Indies,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Hong Kong,Ehsan Khan,Hong Kong
Ireland,Namibia,"Al Amerat Cricket Ground, Oman",Namibia,David Wiese,Ireland
Hong Kong,Pakistan,"Bellerive Oval, Australia",Hong Kong,Babar Hayat,Pakistan
New Zealand,Australia,"Mission Road Ground, Hong Kong",New Zealand,Ross Taylor,New Zealand
New Zealand,South Africa,"Lucknow Cricket Stadium, India",South Africa,David Miller,New Zealand
Afghanistan,Hong Kong,"Seddon Park, New Zealand",Afghanistan,Hazratullah Zazai,Afghanistan
New Zealand,Pakistan,"Jharkhand State Cricket Association Stadium, India",New Zealand,Kyle Jamieson,New Zealand
Zimbabwe,New Zealand,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Zimbabwe,Blessing Muzarabani,Zimbabwe
South Africa,England,"Raipur International Cricket Stadium, India",South Africa,Faf du Plessis,South Africa
Zimbabwe,Sri Lanka,"R. Premadasa Stadium, Sri Lanka",Zimbabwe,Sean Williams,Sri Lanka
Australia,United Arab Emirates,"Newlands, South Africa",Australia,Mitchell Starc,Australia
Netherlands,England,"Al Amerat Cricket Ground, Oman",Netherlands,Fred Klaassen,Netherlands
Namibia,Hong Kong,"Eden Gardens, India",Namibia,David Wiese,Hong Kong
Ireland,Afghanistan,"Rajkot Cricket Stadium, India",Ireland,Paul Stirling,Afghanistan
India,Netherlands,"Hyderabad Cricket Stadium, India",Netherlands,Fred Klaassen,India
India,West Indies,"Kensington Oval, Barbados, West Indies",India,Rishabh Pant,India
New Zealand,Pakistan,"Warner Park, St Kitts, West Indies",Pakistan,Shadab Khan,Pakistan
Nepal,Zimbabwe,"Patna Cricket Stadium, India",Nepal,Karan KC,Nepal
Papua New Guinea,Namibia,"Jaipur Cricket Stadium, India",Papua New Guinea,Tony Ura,Papua New Guinea
Namibia,Hong Kong,"Galle International Stadium, Sri Lanka",Hong Kong,Nizakat Khan,Namibia
Pakistan,Papua New Guinea,"Cuttack Cricket Stadium, India",Pakistan,Mohammad Rizwan,Papua New Guinea
Afghanistan,West Indies,"Eden Gardens, India",Afghanistan,Rashid Khan,Afghanistan
India,United Arab Emirates,"Newlands, South Africa",United Arab Emirates,Muhammad Usman,India
Ireland,West Indies,"R. Premadasa Stadium, Sri Lanka",West Indies,Jason Holder,Ireland
Zimbabwe,Scotland,"Melbourne Cricket Ground, Australia",Zimbabwe,Craig Ervine,Scotland
Ireland,India,"Greenfield International Stadium, India",Ireland,Andrew Balbirnie,Ireland
New Zealand,Pakistan,"Newlands, South Africa",Pakistan,Haris Rauf,Pakistan
Nepal,Pakistan,"Lucknow Cricket Stadium, India",Nepal,Karan KC,Nepal
Namibia,New Zealand,"Feroz Shah Kotla Ground, India",Namibia,Gerhard Erasmus,Namibia
Pakistan,Nepal,"Providence Stadium, Guyana, West Indies",Pakistan,Haris Rauf,Pakistan
Namibia,Afghanistan,"Jharkhand State Cricket Association Stadium, India",Afghanistan,Mohammad Nabi,Afghanistan
Pakistan,Ireland,"Rajkot Cricket Stadium, India",Pakistan,Haris Rauf,Ireland
Namibia,Bangladesh,"Kochi Cricket Stadium, India",Bangladesh,Shakib Al Hasan,Bangladesh
Hong Kong,Pakistan,"Bellerive Oval, Australia",Pakistan,Shaheen Afridi,Pakistan
New Zealand,England,"Gaddafi Stadium, Pakistan",England,Jofra Archer,New Zealand
England,Hong Kong,"Sher-e-Bangla National Stadium, Bangladesh",England,Jos Buttler,Hong Kong
Papua New Guinea,United Arab Emirates,"Surat Cricket Stadium, India",United Arab Emirates,Waheed Ahmed,Papua New Guinea
New Zealand,Australia,"Al Amerat Cricket Ground, Oman",Australia,David Warner,Australia
England,Nepal,"Dharamsala Cricket Stadium, India",England,Jos Buttler,England
Ireland,Bangladesh,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Ireland,Josh Little,Ireland
Australia,Afghanistan,"Jaipur Cricket Stadium, India",Australia,Steve Smith,Australia
United Arab Emirates,Papua New Guinea,"Adelaide Oval, Australia",Papua New Guinea,Assad Vala,United Arab Emirates
Australia,Namibia,"Perth Stadium, Australia",Namibia,JJ Smit,Australia
New Zealand,Ireland,"Thiruvananthapuram Cricket Stadium, India",Ireland,Kevin O'Brien,New Zealand
South Africa,Hong Kong,"Alokozay Kabul International Cricket Ground, Afghanistan",South Africa,Kagiso Rabada,Hong Kong
Zimbabwe,Oman,"Seddon Park, New Zealand",Zimbabwe,Sean Williams,Oman
Zimbabwe,Hong Kong,"Bay Oval, New Zealand",Zimbabwe,Sean Williams,Zimbabwe
New Zealand,India,"Bay Oval, New Zealand",New Zealand,Kyle Jamieson,India
Hong Kong,India,"Queen's Sports Club, Zimbabwe",India,Virat Kohli,India
Bangladesh,New Zealand,"Lord's, England",Bangladesh,Shakib Al Hasan,New Zealand
New Zealand,India,"Rajkot Cricket Stadium, India",New Zealand,Tom Latham,India
Afghanistan,Oman,"Cuttack Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Afghanistan
Nepal,New Zealand,"Raipur International Cricket Stadium, India",New Zealand,Tom Latham,Nepal
Hong Kong,Scotland,"Barsapara Stadium, India",Scotland,Richie Berrington,Scotland
Nepal,Australia,"Guwahati Cricket Stadium, India",Australia,Steve Smith,Australia
Bangladesh,Hong Kong,"Gaddafi Stadium, Pakistan",Hong Kong,Nizakat Khan,Bangladesh
Papua New Guinea,Afghanistan,"Perth Stadium, Australia",Afghanistan,Rashid Khan,Papua New Guinea
Ireland,Scotland,"R. Premadasa Stadium, Sri Lanka",Ireland,Josh Little,Scotland
Ireland,Pakistan,"Sheikh Zayed Stadium, UAE",Pakistan,Mohammad Rizwan,Pakistan
Afghanistan,United Arab Emirates,"Sheikh Zayed Stadium, UAE",United Arab Emirates,Waheed Ahmed,United Arab Emirates
South Africa,Bangladesh,"Ranchi Cricket Stadium, India",Bangladesh,Mahmudullah,Bangladesh
New Zealand,Namibia,"Dehradun Cricket Stadium, India",Namibia,David Wiese,New Zealand
India,New Zealand,"The Grange Club, Scotland",India,Jasprit Bumrah,India
Papua New Guinea,India,"Arun Jaitley Stadium, India",India,Virat Kohli,Papua New Guinea
Scotland,Hong Kong,"Sydney Cricket Ground, Australia",Scotland,Richie Berrington,Scotland
Papua New Guinea,Nepal,"Rajiv Gandhi International Cricket Stadium, India",Nepal,Dipendra Singh Airee,Nepal
Namibia,Scotland,"Thiruvananthapuram Cricket Stadium, India",Namibia,David Wiese,Scotland
Pakistan,Zimbabwe,"Guwahati Cricket Stadium, India",Pakistan,Haris Rauf,Zimbabwe
Bangladesh,Namibia,"Arun Jaitley Stadium, India",Bangladesh,Shakib Al Hasan,Namibia
England,Bangladesh,"Thiruvananthapuram Cricket Stadium, India",Bangladesh,Mushfiqur Rahim,Bangladesh
Scotland,Nepal,"Cuttack Cricket Stadium, India",Scotland,Mark Watt,Nepal
Oman,Netherlands,"Adelaide Oval, Australia",Oman,Zeeshan Maqsood,Netherlands
Namibia,Oman,"Malahide Cricket Club Ground, Ireland",Namibia,Ruben Trumpelmann,Namibia
West Indies,Nepal,"Patna Cricket Stadium, India",West Indies,Chris Gayle,Nepal
Bangladesh,West Indies,"Al Amerat Cricket Ground, Oman",Bangladesh,Mushfiqur Rahim,West Indies
Bangladesh,Hong Kong,"Harare Sports Club, Zimbabwe",Bangladesh,Mahmudullah,Hong Kong
Namibia,India,"Sabina Park, Jamaica, West Indies",Namibia,Craig Williams,India
Sri Lanka,Scotland,"Himachal Pradesh Cricket Association Stadium, India",Sri Lanka,Lasith Malinga,Scotland
Bangladesh,Namibia,"Newlands, South Africa",Namibia,Craig Williams,Namibia
Oman,India,"Providence Stadium, Guyana, West Indies",India,Rohit Sharma,India
India,South Africa,"Chinnaswamy Stadium, India",India,Jasprit Bumrah,India
United Arab Emirates,Nepal,"Jaipur Cricket Stadium, India",United Arab Emirates,Waheed Ahmed,Nepal
England,United Arab Emirates,"Warner Park, St Kitts, West Indies",United Arab Emirates,Muhammad Usman,United Arab Emirates
New Zealand,Pakistan,"Providence Stadium, Guyana, West Indies",New Zealand,Kyle Jamieson,New Zealand
Oman,South Africa,"Feroz Shah Kotla Ground, India",Oman,Aqib Ilyas,South Africa
Bangladesh,Papua New Guinea,"Warner Park, St Kitts, West Indies",Bangladesh,Shakib Al Hasan,Papua New Guinea
Oman,Afghanistan,"Saurashtra Cricket Association Stadium, India",Afghanistan,Hazratullah Zazai,Oman
New Zealand,Nepal,"Himachal Pradesh Cricket Association Stadium, India",Nepal,Karan KC,Nepal
South Africa,Nepal,"Sharjah Cricket Stadium, UAE",Nepal,Dipendra Singh Airee,South Africa
South Africa,Netherlands,"Queen's Sports Club, Zimbabwe",South Africa,David Miller,Netherlands
Zimbabwe,Ireland,"Adelaide Oval, Australia",Zimbabwe,Sean Williams,Zimbabwe
West Indies,Bangladesh,"Dharamsala Cricket Stadium, India",West Indies,Andre Russell,Bangladesh
Papua New Guinea,England,"Nagpur Cricket Stadium, India",Papua New Guinea,Nosaina Pokana,England
Papua New Guinea,West Indies,"Raipur International Cricket Stadium, India",Papua New Guinea,Assad Vala,Papua New Guinea
Pakistan,Papua New Guinea,"Patna Cricket Stadium, India",Pakistan,Shaheen Afridi,Pakistan
South Africa,Papua New Guinea,"VRA Cricket Ground, Netherlands",South Africa,Kagiso Rabada,South Africa
Pakistan,Oman,"Wanderers Cricket Ground, Namibia",Oman,Bilal Khan,Pakistan
Afghanistan,United Arab Emirates,"Adelaide Oval, Australia",Afghanistan,Hazratullah Zazai,United Arab Emirates
Bangladesh,Pakistan,"Adelaide Oval, Australia",Bangladesh,Mushfiqur Rahim,Bangladesh
Pakistan,West Indies,"Vidarbha Cricket Association Stadium, India",West Indies,Andre Russell,West Indies
Zimbabwe,Papua New Guinea,"Dubai International Stadium, UAE",Papua New Guinea,Tony Ura,Papua New Guinea
Australia,India,"Arun Jaitley Stadium, India",India,Hardik Pandya,India
Hong Kong,Sri Lanka,"Bay Oval, New Zealand",Hong Kong,Nizakat Khan,Hong Kong
Namibia,Ireland,"Adelaide Oval, Australia",Namibia,Craig Williams,Ireland
Namibia,Nepal,"Motera Stadium, India",Namibia,Gerhard Erasmus,Nepal
South Africa,Oman,"Queen's Park Oval, Trinidad, West Indies",Oman,Aqib Ilyas,South Africa
Bangladesh,Papua New Guinea,"Warner Park, St Kitts, West Indies",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Ireland,Bangladesh,"Gaddafi Stadium, Pakistan",Bangladesh,Tamim Iqbal,Ireland
India,Ireland,"Malahide Cricket Club Ground, Ireland",Ireland,Harry Tector,Ireland
Scotland,Hong Kong,"Amini Park, Papua New Guinea",Scotland,Richie Berrington,Scotland
Australia,Scotland,"Old Trafford, England",Australia,David Warner,Scotland
Nepal,Australia,"Feroz Shah Kotla Ground, India",Nepal,Paras Khadka,Nepal
Oman,United Arab Emirates,"Eden Park, New Zealand",United Arab Emirates,Muhammad Usman,Oman
West Indies,South Africa,"Bay Oval, New Zealand",West Indies,Jason Holder,South Africa
Netherlands,Australia,"Jaipur Cricket Stadium, India",Netherlands,Pieter Seelaar,Australia
Hong Kong,United Arab Emirates,"Eden Gardens, India",United Arab Emirates,Waheed Ahmed,Hong Kong
West Indies,Namibia,"Patna Cricket Stadium, India",West Indies,Kieron Pollard,Namibia
New Zealand,Pakistan,"Alokozay Kabul International Cricket Ground, Afghanistan",New Zealand,Kyle Jamieson,New Zealand
Netherlands,United Arab Emirates,"Bellerive Oval, Australia",United Arab Emirates,Waheed Ahmed,United Arab Emirates
Netherlands,New Zealand,"Maharashtra Cricket Association Stadium, India",Netherlands,Pieter Seelaar,New Zealand
Afghanistan,Pakistan,"VRA Cricket Ground, Netherlands",Afghanistan,Hazratullah Zazai,Afghanistan
Scotland,New Zealand,"Greenfield International Stadium, India",New Zealand,Ross Taylor,Scotland
India,South Africa,"Dubai International Stadium, UAE",India,Jasprit Bumrah,India
Hong Kong,Zimbabwe,"Dehradun Cricket Stadium, India",Hong Kong,Babar Hayat,Hong Kong
Zimbabwe,Pakistan,"Raipur International Cricket Stadium, India",Pakistan,Mohammad Rizwan,Zimbabwe
England,Namibia,"Kensington Oval, Barbados, West Indies",England,Joe Root,Namibia
Oman,England,"Vidarbha Cricket Association Stadium, India",England,Jofra Archer,England
Hong Kong,Afghanistan,"Alokozay Kabul International Cricket Ground, Afghanistan",Hong Kong,Nizakat Khan,Hong Kong
Sri Lanka,India,"Surat Cricket Stadium, India",Sri Lanka,Dinesh Chandimal,India
England,Zimbabwe,"Providence Stadium, Guyana, West Indies",England,Ben Stokes,England
Australia,West Indies,"Malahide Cricket Club Ground, Ireland",Australia,Mitchell Starc,West Indies
Papua New Guinea,West Indies,"Newlands, South Africa",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Zimbabwe,Netherlands,"Bay Oval, New Zealand",Netherlands,Fred Klaassen,Netherlands
Sri Lanka,Pakistan,"Sabina Park, Jamaica, West Indies",Sri Lanka,Lasith Malinga,Sri Lanka
West Indies,Hong Kong,"Nagpur Cricket Stadium, India",West Indies,Chris Gayle,Hong Kong
Ireland,Hong Kong,"Sher-e-Bangla National Stadium, Bangladesh",Ireland,Andrew Balbirnie,Ireland
Pakistan,United Arab Emirates,"Vidarbha Cricket Association Stadium, India",Pakistan,Mohammad Rizwan,Pakistan
Bangladesh,India,"Kochi Cricket Stadium, India",Bangladesh,Mushfiqur Rahim,Bangladesh
West Indies,Netherlands,"Rajkot Cricket Stadium, India",West Indies,Chris Gayle,Netherlands
Bangladesh,Scotland,"Rajkot Cricket Stadium, India",Scotland,Kyle Coetzer,Bangladesh
United Arab Emirates,Zimbabwe,"Vidarbha Cricket Association Stadium, India",Zimbabwe,Sean Williams,United Arab Emirates
England,Bangladesh,"Pune Cricket Stadium, India",England,Jason Roy,England
Oman,Pakistan,"Eden Park, New Zealand",Pakistan,Mohammad Rizwan,Pakistan
West Indies,Australia,"Wanderers Stadium, South Africa",Australia,Pat Cummins,Australia
Zimbabwe,Hong Kong,"Wanderers Cricket Ground, Namibia",Zimbabwe,Brendan Taylor,Zimbabwe
Nepal,Zimbabwe,"Vizag Cricket Stadium, India",Nepal,Dipendra Singh Airee,Zimbabwe
Ireland,Oman,"Gaddafi Stadium, Pakistan",Ireland,Kevin O'Brien,Ireland
Bangladesh,Hong Kong,"Rajiv Gandhi International Cricket Stadium, India",Bangladesh,Mahmudullah,Hong Kong
Bangladesh,Pakistan,"Gaddafi Stadium, Pakistan",Bangladesh,Tamim Iqbal,Pakistan
United Arab Emirates,South Africa,"Galle International Stadium, Sri Lanka",United Arab Emirates,Chirag Suri,United Arab Emirates
South Africa,Hong Kong,"Seddon Park, New Zealand",South Africa,Kagiso Rabada,Hong Kong
Afghanistan,Nepal,"Amini Park, Papua New Guinea",Nepal,Paras Khadka,Nepal
Scotland,Afghanistan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Scotland,George Munsey,Afghanistan
New Zealand,Namibia,"Alokozay Kabul International Cricket Ground, Afghanistan",New Zealand,Kyle Jamieson,New Zealand
Sri Lanka,New Zealand,"Lucknow Cricket Stadium, India",Sri Lanka,Dinesh Chandimal,Sri Lanka
India,England,"Galle International Stadium, Sri Lanka",England,Jofra Archer,India
Bangladesh,Nepal,"Sharjah Cricket Stadium, UAE",Bangladesh,Mahmudullah,Bangladesh
India,Bangladesh,"VRA Cricket Ground, Netherlands",India,Hardik Pandya,Bangladesh
New Zealand,Oman,"Lord's, England",Oman,Aqib Ilyas,New Zealand
England,New Zealand,"Feroz Shah Kotla Ground, India",England,Ben Stokes,England
West Indies,Zimbabwe,"Raipur International Cricket Stadium, India",Zimbabwe,Blessing Muzarabani,Zimbabwe
Ireland,Papua New Guinea,"M. A. Chidambaram Stadium, India",Ireland,Josh Little,Ireland
England,Sri Lanka,"Amini Park, Papua New Guinea",England,Joe Root,England
Hong Kong,Ireland,"Sabina Park, Jamaica, West Indies",Ireland,Andrew Balbirnie,Ireland
Oman,Scotland,"Wanderers Stadium, South Africa",Scotland,Kyle Coetzer,Scotland
Scotland,India,"M. A. Chidambaram Stadium, India",India,Hardik Pandya,India
South Africa,England,"Arun Jaitley Stadium, India",South Africa,Kagiso Rabada,England
Zimbabwe,Papua New Guinea,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Zimbabwe,Sean Williams,Papua New Guinea
Sri Lanka,New Zealand,"Queen's Park Oval, Trinidad, West Indies",Sri Lanka,Wanindu Hasaranga,Sri Lanka
Hong Kong,England,"Lord's, England",England,Jason Roy,England
Papua New Guinea,England,"Tribhuvan University International Cricket Ground, Nepal",Papua New Guinea,Nosaina Pokana,England
West Indies,South Africa,"Pune Cricket Stadium, India",West Indies,Nicholas Pooran,South Africa
Nepal,Hong Kong,"Seddon Park, New Zealand",Hong Kong,Nizakat Khan,Nepal
India,Pakistan,"Dehradun Cricket Stadium, India",Pakistan,Mohammad Rizwan,India
Pakistan,Hong Kong,"Dehradun Cricket Stadium, India",Pakistan,Shaheen Afridi,Hong Kong
Bangladesh,Pakistan,"Perth Stadium, Australia",Pakistan,Babar Azam,Pakistan
New Zealand,India,"Saurashtra Cricket Association Stadium, India",India,Rohit Sharma,New Zealand
Hong Kong,Namibia,"Sabina Park, Jamaica, West Indies",Hong Kong,Nizakat Khan,Hong Kong
West Indies,Netherlands,"Wanderers Cricket Ground, Namibia",West Indies,Nicholas Pooran,West Indies
Ireland,Scotland,"Jaipur Cricket Stadium, India",Ireland,Kevin O'Brien,Scotland
Nepal,Netherlands,"Rajkot Cricket Stadium, India",Nepal,Gyanendra Malla,Netherlands
West Indies,South Africa,"Vizag Cricket Stadium, India",South Africa,Kagiso Rabada,West Indies
Zimbabwe,Hong Kong,"Warner Park, St Kitts, West Indies",Hong Kong,Nizakat Khan,Zimbabwe
West Indies,Netherlands,"Warner Park, St Kitts, West Indies",West Indies,Nicholas Pooran,West Indies
Ireland,South Africa,"Amini Park, Papua New Guinea",South Africa,Anrich Nortje,Ireland
Zimbabwe,Papua New Guinea,"Motera Stadium, India",Zimbabwe,Brendan Taylor,Papua New Guinea
Hong Kong,Sri Lanka,"Tribhuvan University International Cricket Ground, Nepal",Hong Kong,Aizaz Khan,Sri Lanka
Sri Lanka,India,"Harare Sports Club, Zimbabwe",India,Jasprit Bumrah,India
South Africa,Namibia,"Holkar Stadium, India",Namibia,Craig Williams,South Africa
Hong Kong,Nepal,"Providence Stadium, Guyana, West Indies",Hong Kong,Ehsan Khan,Hong Kong
England,Zimbabwe,"Wankhede Stadium, India",Zimbabwe,Craig Ervine,Zimbabwe
Oman,Zimbabwe,"Kabul International Cricket Stadium, Afghanistan",Zimbabwe,Brendan Taylor,Zimbabwe
Papua New Guinea,Netherlands,"Lucknow Cricket Stadium, India",Netherlands,Ben Cooper,Netherlands
Namibia,Nepal,"Hagley Oval, New Zealand",Nepal,Karan KC,Nepal
Ireland,United Arab Emirates,"Hyderabad Cricket Stadium, India",United Arab Emirates,Rohan Mustafa,Ireland
West Indies,South Africa,"Hagley Oval, New Zealand",West Indies,Jason Holder,South Africa
Bangladesh,Papua New Guinea,"Greenfield International Stadium, India",Bangladesh,Shakib Al Hasan,Papua New Guinea
Pakistan,Australia,"Alokozay Kabul International Cricket Ground, Afghanistan",Australia,Steve Smith,Australia
Namibia,England,"Perth Stadium, Australia",Namibia,Gerhard Erasmus,England
India,Bangladesh,"M. A. Chidambaram Stadium, India",India,Jasprit Bumrah,Bangladesh
Australia,Nepal,"Saurashtra Cricket Association Stadium, India",Nepal,Dipendra Singh Airee,Australia
Scotland,New Zealand,"Pune Cricket Stadium, India",New Zealand,Kyle Jamieson,Scotland
Pakistan,United Arab Emirates,"Raipur International Cricket Stadium, India",United Arab Emirates,Muhammad Usman,Pakistan
Zimbabwe,Scotland,"Providence Stadium, Guyana, West Indies",Scotland,Richie Berrington,Zimbabwe
Scotland,New Zealand,"Queen's Park Oval, Trinidad, West Indies",Scotland,Richie Berrington,Scotland
West Indies,Papua New Guinea,"Eden Park, New Zealand",Papua New Guinea,Charles Amini,Papua New Guinea
Zimbabwe,Afghanistan,"M. A. Chidambaram Stadium, India",Afghanistan,Mohammad Nabi,Zimbabwe
Hong Kong,West Indies,"Feroz Shah Kotla Ground, India",Hong Kong,Kinchit Shah,West Indies
Scotland,Papua New Guinea,"Guwahati Cricket Stadium, India",Scotland,Safyaan Sharif,Papua New Guinea
Afghanistan,Zimbabwe,"Rajkot Cricket Stadium, India",Zimbabwe,Brendan Taylor,Afghanistan
Namibia,West Indies,"Thiruvananthapuram Cricket Stadium, India",West Indies,Jason Holder,Namibia
Oman,West Indies,"Queen's Sports Club, Zimbabwe",West Indies,Jason Holder,West Indies
Nepal,Ireland,"Al Amerat Cricket Ground, Oman",Nepal,Gyanendra Malla,Ireland
Namibia,Netherlands,"Saurashtra Cricket Association Stadium, India",Netherlands,Fred Klaassen,Netherlands
Zimbabwe,Oman,"Mission Road Ground, Hong Kong",Zimbabwe,Blessing Muzarabani,Oman
Hong Kong,Afghanistan,"Rajkot Cricket Stadium, India",Afghanistan,Rahmanullah Gurbaz,Afghanistan
West Indies,Bangladesh,"Providence Stadium, Guyana, West Indies",Bangladesh,Tamim Iqbal,Bangladesh
Zimbabwe,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Afghanistan,Mohammad Nabi,Zimbabwe
England,Hong Kong,"Motera Stadium, India",Hong Kong,Ehsan Khan,Hong Kong
Netherlands,Zimbabwe,"Melbourne Cricket Ground, Australia",Netherlands,Ben Cooper,Zimbabwe
Zimbabwe,Ireland,"Mission Road Ground, Hong Kong",Zimbabwe,Craig Ervine,Ireland
Netherlands,West Indies,"Rajiv Gandhi International Cricket Stadium, India",West Indies,Nicholas Pooran,West Indies
Netherlands,Bangladesh,"Eden Park, New Zealand",Bangladesh,Mustafizur Rahman,Bangladesh
Papua New Guinea,South Africa,"Gaddafi Stadium, Pakistan",South Africa,Kagiso Rabada,South Africa
Pakistan,Scotland,"Sydney Cricket Ground, Australia",Pakistan,Mohammad Rizwan,Pakistan
Oman,India,"Browne Park, Montserrat, West Indies",India,Jasprit Bumrah,India
Scotland,South Africa,"Sher-e-Bangla National Stadium, Bangladesh",South Africa,Anrich Nortje,South Africa
Bangladesh,West Indies,"Sharjah Cricket Stadium, UAE",West Indies,Jason Holder,Bangladesh
New Zealand,United Arab Emirates,"Maharashtra Cricket Association Stadium, India",United Arab Emirates,Rohan Mustafa,United Arab Emirates
West Indies,England,"Kabul International Cricket Stadium, Afghanistan",West Indies,Jason Holder,England
Ireland,Namibia,"R. Premadasa Stadium, Sri Lanka",Ireland,Josh Little,Ireland
Zimbabwe,Hong Kong,"Newlands, South Africa",Hong Kong,Aizaz Khan,Hong Kong
Pakistan,United Arab Emirates,"Kensington Oval, Barbados, West Indies",United Arab Emirates,Muhammad Usman,United Arab Emirates
United Arab Emirates,Namibia,"Pune Cricket Stadium, India",Namibia,Gerhard Erasmus,Namibia
United Arab Emirates,India,"Maharashtra Cricket Association Stadium, India",India,Virat Kohli,India
Australia,Bangladesh,"Wankhede Stadium, India",Bangladesh,Mahmudullah,Australia
Zimbabwe,United Arab Emirates,"Indore Cricket Stadium, India",Zimbabwe,Blessing Muzarabani,Zimbabwe
New Zealand,Nepal,"Eden Gardens, India",Nepal,Dipendra Singh Airee,Nepal
England,Zimbabwe,"Wanderers Cricket Ground, Namibia",Zimbabwe,Sean Williams,England
Namibia,Sri Lanka,"Greenfield International Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
